"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#inthebeginning #soffritto #startup #homecooking #buildingblocks #flavors #umami. @laurasanttini… https://t.co/NWWR34LZRX",FALSE,0,NA,2016-09-29 19:31:27,FALSE,NA,"781577146544173056",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LauraSanttini",0,FALSE,FALSE,NA,NA
"2","Plot veg Yorkshire pudding <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>happy #allotment #veg #homecooking https://t.co/DlrJOVtOtT",FALSE,1,NA,2016-09-29 19:03:39,FALSE,NA,"781570150235594757",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","HolmesAllotment",0,FALSE,FALSE,NA,NA
"3","Get those proteins in. Meat and plant based. #gowerultra50 #fuelling #homecooking https://t.co/1nLOtkAg3q",FALSE,0,NA,2016-09-29 18:58:21,FALSE,NA,"781568819064168450",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ivorbend",0,FALSE,FALSE,NA,NA
"4","Ready for the oven . Fresh Turkey Breast. #scratchcooking #homecooking https://t.co/OSP36BBsDe",FALSE,0,NA,2016-09-29 18:54:17,FALSE,NA,"781567792474624001",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","JEMNutrition",0,FALSE,FALSE,NA,NA
"5","Send us pictures of your culinary masterpiece! we want to see it! #traditional #homecooking #quality #shoplocal #cheshire #sandbach",FALSE,0,NA,2016-09-29 18:48:28,FALSE,NA,"781566331166593024",NA,"<a href=""http://www.vicconsult.com/buffered-bulk-tweets/"" rel=""nofollow"">Buffered Tweets</a>","sandbachbutcher",0,FALSE,FALSE,NA,NA
"6","Polish Plum Butter #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/9W2Lzk9WLI",FALSE,0,NA,2016-09-29 18:48:08,FALSE,NA,"781566246152134656",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"7","Raisin Bread, great fresh out the oven with butter, Yum #homecooking #variationsoncooking https://t.co/dif8KzRci1 https://t.co/yLwLBGrZ5x",FALSE,0,NA,2016-09-29 18:38:46,FALSE,NA,"781563887284023296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AndyBNYC",0,FALSE,FALSE,NA,NA
"8","Homemade #chickennuggets and #ovenbakedchips for my boys tonight <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #homecooking https://t.co/kWC1vTeLj4",FALSE,0,NA,2016-09-29 18:26:49,FALSE,NA,"781560883109519360",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kimifan",0,FALSE,FALSE,NA,NA
"9","#lunchtime #foodpics #foodlover #homecooking #homemade #green #vegetables #cooking #happy… https://t.co/DTiGmUobVv",FALSE,0,NA,2016-09-29 18:21:38,FALSE,NA,"781559575220813824",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BojanaStr",0,FALSE,FALSE,NA,NA
"10","Looks yummy. <U+263A><U+FE0F> #homecooking https://t.co/sMVYPOZl6g",FALSE,0,NA,2016-09-29 18:20:07,FALSE,NA,"781559193337815040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mojos21",0,FALSE,FALSE,NA,NA
"11","Steak and onion rings #steak #beef #homecooking #homemade #gmsdxb #dubai<ed><U+00A0><U+00BC><ed><U+00B7><U+00A6><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> @ JLT, Dubai, UAE https://t.co/E15cC9OnrG",FALSE,1,NA,2016-09-29 18:19:26,FALSE,NA,"781559022629494784",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","GMSdotnet",0,FALSE,FALSE,"55.14624031","25.07657016"
"12","RT @Sean_Jonez: Bacon Wrapped Chicken #itslit #homecooking #munchies #amazingfood #fuckthatsdelicious <ed><U+00A0><U+00BD><ed><U+00B2><U+00A3><ed><U+00A0><U+00BD><ed><U+00B2><U+00A3><ed><U+00A0><U+00BD><ed><U+00B2><U+00A3> @… https://t.co/LkCVyOjLLC",FALSE,0,NA,2016-09-29 18:03:37,FALSE,NA,"781555042633469953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sean_Jonez",1,TRUE,FALSE,NA,NA
"13","Dinner tonight: Courgette cake, 3 tomato salad with mirin sesame dressing #vegetarian #yummy #homecooking https://t.co/IcdsFBtoGO",FALSE,2,NA,2016-09-29 18:01:47,FALSE,NA,"781554580786126848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarkusHoemske",0,FALSE,FALSE,NA,NA
"14","#30DayChallenge #NoTakeoutMonth @GDeLaurentiis Parmesan Crusted Porkchops.  Day 10 and no Takeout! #homecooking… https://t.co/Yf6I6YlQwT",FALSE,0,NA,2016-09-29 17:49:57,TRUE,NA,"781551601769148416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoBiondoPage",0,FALSE,FALSE,NA,NA
"15","Get Holiday Entertaining Ready with Finish! #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/ZGAy8uMJHa",FALSE,0,NA,2016-09-29 17:46:08,FALSE,NA,"781550643953754113",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"16","#Japanese #Japanesecurry #homemade #snack #<U+30AB><U+30EC><U+30FC><U+30D1><U+30F3><U+306E><U+5177> #<U+30AB><U+30EC><U+30FC><U+30D1><U+30F3> #filling #homemade #breadmaking #homecooking https://t.co/eeWYxywmj6",FALSE,0,NA,2016-09-29 17:31:53,FALSE,NA,"781547055667777536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ikuetb",0,FALSE,FALSE,NA,NA
"17","#pasta &amp; @QuornFoods mince &amp; #Vegetables #food #foodporn #veggie #vegetarian #cooking #homecooking #tasty #dinner https://t.co/33xSM6Co5H",FALSE,0,NA,2016-09-29 17:11:56,FALSE,NA,"781542036516331520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DoctorGOE",0,FALSE,FALSE,NA,NA
"18","Sorry, aber: volle Gönnung. #homecooking https://t.co/D8CPpV9Wfo",FALSE,3,NA,2016-09-29 17:04:07,FALSE,NA,"781540071371632640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baranek",0,FALSE,FALSE,NA,NA
"19","EASY CROCKPOT PORK ROAST DINNER WITH ONLY 5 INGREDIENTS! #slowcoker #instagood #homemade #DIY #love #homecooking... https://t.co/hKWHtdrWKO",FALSE,0,NA,2016-09-29 16:45:09,FALSE,NA,"781535296148107265",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
